FirstName,Surname,Address,Telephone,Eye Colour,Blood Group
John,Smith,"14 Any Street, Any Town",0555 0145 7000,Blue,A RhD positive (A+)
Jane,Jones,"15 Any Road, New Town",0555 0146 7010,Green,A RhD negative (A-)
Emma,Kane,"3a Tower Hamlet, Jonesville",0556 0146 7010,Brown,B RhD positive (B+)
Sam,McGreggor,"146 Main Street, Hopetown",0557 0146 7010,Brown,B RhD negative (B-)
Susan,O'Leary,"10 Any Street, Any Town",0558 0146 7011,Hazel,O RhD positive (O+)
Fingal,MacDonald,"12 Any Avenue, Any Town",0559 0146 7013,Brown,O RhD negative (O-)
Tom,Baker,"1 Any Street, Any Town",0440 0146 7012,Blue,AB RhD positive (AB+)
Samuel,Finch,"40 Any Street, Any Town",0561 0146 7015,Hazel,AB RhD negative (AB-)
Julie,Baker,"123 Long Road, Big city",0123 1945  8700,Hazel,A RhD positive (A+)
Sophie,Millar,"6a Green Flats, Big City",0345 7840 1200,Blue,A RhD negative (A-)
James,Taggart,"75 Freen Road, MidTown",0134 3450 1341,Grey,B RhD positive (B+)
Victoria,Smith,"652 Argyll Gardens, Joesville",0556 1150 7011,Amber,B RhD negative (B-)
Arron,Jamieson,"32 Any Street, Any Town",0558 0150 1234,Brown,O RhD positive (O+)
Mark,Zane,"20 Any Avenue, Any Town",0555 0145 7201,Brown,O RhD negative (O-)
Lana,Omer,"7 Orange Avenue, New Town",0555 0340 5612,Hazel,B RhD positive (B+)
