SupportTeam|2 Resource units
Mar 2024|Apr 2024|May 2024|Jun 2024|Jul 2024|Aug 2024
Unallocated
Support Systems
New Project







Holidays

#1*
#1*John Smith|1|New Project|Holidays|Unallocated|Unallocated
#1*John Smith|1|New Project|Holidays|Unallocated|Unallocated
#1*John Smith|1|Unallocated|Holidays|Unallocated|Unallocated
#1*John Smith|1|Unallocated|Holidays|Unallocated|Unallocated
#1*John Smith|1|Unallocated|Holidays|Unallocated|Unallocated
#1*Jane Smythe|1|Unallocated|Unallocated|Holidays|Unallocated
#1*Jane Smythe|1|Unallocated|Unallocated|Holidays|Unallocated
#1*Jane Smythe|1|Unallocated|Unallocated|Holidays|Unallocated
#1*Jane Smythe|1|Unallocated|Unallocated|Holidays|Unallocated
#1*Jane Smythe|1|Unallocated|Unallocated|Holidays|Unallocated
#2*
#2*John Smith|1|Unallocated|Unallocated|Unallocated|Unallocated
#2*John Smith|1|Unallocated|Unallocated|Unallocated|Unallocated
#2*John Smith|1|Unallocated|Unallocated|Unallocated|Unallocated
#2*John Smith|1|Unallocated|Unallocated|Unallocated|Unallocated
#2*John Smith|1|Unallocated|Unallocated|Unallocated|Unallocated
#2*Jane Smythe|1|Unallocated|Unallocated|Unallocated|Unallocated
#2*Jane Smythe|1|Unallocated|Unallocated|Unallocated|Unallocated
#2*Jane Smythe|1|Unallocated|Unallocated|Unallocated|Unallocated
#2*Jane Smythe|1|Unallocated|Unallocated|Unallocated|Unallocated
#2*Jane Smythe|1|Unallocated|Unallocated|Unallocated|Unallocated
#3*
#3*John Smith|1|Unallocated|Unallocated|Unallocated|Unallocated
#3*John Smith|1|Unallocated|Unallocated|Unallocated|Unallocated
#3*John Smith|1|Unallocated|Unallocated|Unallocated|Unallocated
#3*John Smith|1|Unallocated|Unallocated|Unallocated|Unallocated
#3*John Smith|1|Unallocated|Unallocated|Unallocated|Unallocated
#3*Jane Smythe|1|Unallocated|Unallocated|Unallocated|Unallocated
#3*Jane Smythe|1|Unallocated|Unallocated|Unallocated|Unallocated
#3*Jane Smythe|1|Unallocated|Unallocated|Unallocated|Unallocated
#3*Jane Smythe|1|Unallocated|Unallocated|Unallocated|Unallocated
#3*Jane Smythe|1|Unallocated|Unallocated|Unallocated|Unallocated
#4*
#4*John Smith|1|Unallocated|Unallocated|Unallocated|Unallocated
#4*John Smith|1|Unallocated|Unallocated|Unallocated|Unallocated
#4*John Smith|1|Unallocated|Unallocated|Unallocated|Unallocated
#4*John Smith|1|Unallocated|Unallocated|Unallocated|Unallocated
#4*John Smith|1|Unallocated|Unallocated|Unallocated|Unallocated
#4*Jane Smythe|1|Unallocated|Unallocated|Unallocated|Unallocated
#4*Jane Smythe|1|Unallocated|Unallocated|Unallocated|Unallocated
#4*Jane Smythe|1|Unallocated|Unallocated|Unallocated|Unallocated
#4*Jane Smythe|1|Unallocated|Unallocated|Unallocated|Unallocated
#4*Jane Smythe|1|Unallocated|Unallocated|Unallocated|Unallocated
#5*
#5*John Smith|1|Unallocated|Unallocated|Unallocated|Unallocated
#5*John Smith|1|Unallocated|Unallocated|Unallocated|Unallocated
#5*John Smith|1|Unallocated|Unallocated|Unallocated|Unallocated
#5*John Smith|1|Unallocated|Unallocated|Unallocated|Unallocated
#5*John Smith|1|Unallocated|Unallocated|Unallocated|Unallocated
#5*Jane Smythe|1|Unallocated|Unallocated|Unallocated|Unallocated
#5*Jane Smythe|1|Unallocated|Unallocated|Unallocated|Unallocated
#5*Jane Smythe|1|Unallocated|Unallocated|Unallocated|Unallocated
#5*Jane Smythe|1|Unallocated|Unallocated|Unallocated|Unallocated
#5*Jane Smythe|1|Unallocated|Unallocated|Unallocated|Unallocated
#6*
#6*John Smith|1|Unallocated|Unallocated|Unallocated|Unallocated
#6*John Smith|1|Unallocated|Unallocated|Unallocated|Unallocated
#6*John Smith|1|Unallocated|Unallocated|Unallocated|Unallocated
#6*John Smith|1|Unallocated|Unallocated|Unallocated|Unallocated
#6*John Smith|1|Unallocated|Unallocated|Unallocated|Unallocated
#6*Jane Smythe|1|Unallocated|Unallocated|Unallocated|Unallocated
#6*Jane Smythe|1|Unallocated|Unallocated|Unallocated|Unallocated
#6*Jane Smythe|1|Unallocated|Unallocated|Unallocated|Unallocated
#6*Jane Smythe|1|Unallocated|Unallocated|Unallocated|Unallocated
#6*Jane Smythe|1|Unallocated|Unallocated|Unallocated|Unallocated
